run_id,bin,bin_centre,confidence,observed,count,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
cnn_small_soft_d4_s128_full_bce_nfull_seed0,2,0.16666666666666669,0.1637330739603056,0.0028333628475296618,5647,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,3,0.23333333333333334,0.23124188491991812,0.01347863492973903,3487,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,4,0.3,0.2985919177619657,0.0491562729273661,2726,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,5,0.3666666666666667,0.3651311085877381,0.14001728608470182,2314,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,6,0.43333333333333335,0.43209781541197045,0.2675568743818002,2022,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,7,0.5,0.4989182505412331,0.4831211953514112,1807,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,8,0.5666666666666667,0.5662486761476028,0.6561338289962825,1614,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,9,0.6333333333333333,0.6328496480784329,0.8078134845620668,1587,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,10,0.7,0.7006508165387192,0.9116161616161617,1584,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,11,0.7666666666666666,0.7663368176366832,0.9763513513513513,1480,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,12,0.8333333333333334,0.833093433048347,0.9941747572815534,1545,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
cnn_small_soft_d4_s128_full_bce_nfull_seed0,13,0.9,0.9010734925770483,0.9981696156192801,1639,cnn_small,gz2,soft,d4,128,full,bce,0,0,False,True
