run_id,spearman_vs_votefraction,mae_vs_votefraction,pearson_vs_votefraction,arch,dataset,label_mode,policy,size,finetune,loss,train_size,seed,orientation_pooled,pretrained
resnet50_hard_d4_s224_full_bce_n10000_seed0,0.8469619523037445,0.1537524409691853,0.8922526874926455,resnet50,gz2,hard,d4,224,full,bce,10000,0,False,True
resnet50_hard_d4_s224_full_bce_n10000_seed1,0.849433405757859,0.16068079054115134,0.8879825031651529,resnet50,gz2,hard,d4,224,full,bce,10000,1,False,True
resnet50_hard_d4_s224_full_bce_n2000_seed0,0.7761119800757774,0.15947835933810212,0.8462006538578137,resnet50,gz2,hard,d4,224,full,bce,2000,0,False,True
resnet50_hard_d4_s224_full_bce_n2000_seed1,0.7935827501924927,0.1442260004757879,0.8493783055852,resnet50,gz2,hard,d4,224,full,bce,2000,1,False,True
resnet50_hard_d4_s224_full_bce_n25000_seed0,0.8408559353793614,0.16084170554014968,0.8969438796054693,resnet50,gz2,hard,d4,224,full,bce,25000,0,False,True
resnet50_hard_d4_s224_full_bce_n25000_seed1,0.8483658366070702,0.15524030799882788,0.9012630261291995,resnet50,gz2,hard,d4,224,full,bce,25000,1,False,True
resnet50_hard_d4_s224_full_bce_n50000_seed0,0.874963454788587,0.14981160289946277,0.9141395882114338,resnet50,gz2,hard,d4,224,full,bce,50000,0,False,True
resnet50_hard_d4_s224_full_bce_n50000_seed1,0.8441279811571902,0.16116627234387568,0.9003346845782761,resnet50,gz2,hard,d4,224,full,bce,50000,1,False,True
resnet50_hard_d4_s224_full_bce_n5000_seed0,0.824084504838355,0.15669418890883463,0.8793042192446558,resnet50,gz2,hard,d4,224,full,bce,5000,0,False,True
resnet50_hard_d4_s224_full_bce_n5000_seed1,0.8035283930946776,0.16369000757078217,0.8677590685437909,resnet50,gz2,hard,d4,224,full,bce,5000,1,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed0,0.8780965210595016,0.15556693961411927,0.9139796456161068,resnet50,gz2,hard,d4,224,full,bce,0,0,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed1,0.8809949185520071,0.1603592249551939,0.9102327612863554,resnet50,gz2,hard,d4,224,full,bce,0,1,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed2,0.8813182787214887,0.15005667613245322,0.920126975991711,resnet50,gz2,hard,d4,224,full,bce,0,2,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed3,0.8801667007389886,0.15443743622519843,0.9163368546141107,resnet50,gz2,hard,d4,224,full,bce,0,3,False,True
resnet50_hard_d4_s224_full_bce_nfull_seed4,0.8808786925019121,0.15584132891393732,0.9145231071218499,resnet50,gz2,hard,d4,224,full,bce,0,4,False,True
resnet50_hard_debiased_d4_s224_full_bce_nfull_seed0,0.8210895649279086,0.2798711321430203,0.7376977097314054,resnet50,gz2,hard_debiased,d4,224,full,bce,0,0,False,True
resnet50_hard_debiased_d4_s224_full_bce_nfull_seed1,0.8175231656417522,0.2890991805328598,0.7253091567305515,resnet50,gz2,hard_debiased,d4,224,full,bce,0,1,False,True
